n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,silhouette_score,davies_bouldin_score,calinski_harabasz_score
33,22,0.03,euclidean,25,15,0.4262678,0.5312835454901921,14995.763382284638
33,22,0.03,euclidean,26,16,0.46111584,0.5199496270601593,15073.103951148989
33,22,0.03,euclidean,24,14,0.5094988,0.5181981422040427,17906.907753014017
33,22,0.03,euclidean,27,15,0.5296611,0.4984681019549585,17662.71729997002
33,22,0.03,euclidean,23,17,0.4855089,0.49206703629122034,16730.0842835326
33,22,0.03,euclidean,28,14,0.500956,0.5233214522520366,15514.321299105506
33,22,0.03,euclidean,22,18,0.4399507,0.48760170302984585,13175.46531904026
33,22,0.03,euclidean,29,13,0.51703733,0.5232240271531184,18978.61057098504
33,22,0.03,euclidean,21,19,0.38694242,0.507474507535053,5276.392597442031
33,22,0.03,euclidean,30,12,0.40304074,0.5510942372056928,9343.078699565625
33,22,0.03,euclidean,20,20,0.43289378,0.48651968542356644,10527.96225495869
25,28,0.05,euclidean,25,15,0.51983905,0.5020501626016302,14435.318748557756
25,28,0.05,euclidean,26,16,0.51098967,0.5204598315044853,13572.786773515783
25,28,0.05,euclidean,24,14,0.50088066,0.5286071843109272,11500.18987956215
25,28,0.05,euclidean,27,15,0.50122803,0.5386440318272178,15494.355690377186
25,28,0.05,euclidean,23,17,0.4796738,0.49813962922894756,13339.152867166209
25,28,0.05,euclidean,28,14,0.5075172,0.5466127963940429,12588.478623427973
25,28,0.05,euclidean,22,18,0.382356,0.5283042838917186,4445.953371761005
25,28,0.05,euclidean,29,13,0.45367616,0.530241847161147,10395.078954265522
25,28,0.05,euclidean,21,19,0.4785085,0.49121672045321374,12356.945438385508
25,28,0.05,euclidean,30,12,0.45972392,0.5816990341649951,14345.43738881538
25,28,0.05,euclidean,20,20,0.4882708,0.47369217518551987,12529.06319143839
34,21,0.07,euclidean,25,15,0.4879199,0.5220450201110614,14499.707754452886
34,21,0.07,euclidean,26,16,0.4184481,0.5310562963313137,5684.906112652397
34,21,0.07,euclidean,24,14,0.4880671,0.520779039065711,11635.213693878424
34,21,0.07,euclidean,27,15,0.4942643,0.5326681224298986,14197.794583506815
34,21,0.07,euclidean,23,17,0.5166064,0.5117869699581272,12630.472038945401
34,21,0.07,euclidean,28,14,0.46896347,0.5469404291330069,16570.572928989026
34,21,0.07,euclidean,22,18,0.5186809,0.4992794310359384,14941.28159892304
34,21,0.07,euclidean,29,13,0.4805089,0.5485035933086254,14035.125941138578
34,21,0.07,euclidean,21,19,0.48024055,0.48680022254628696,12074.298120352394
34,21,0.07,euclidean,30,12,0.49869204,0.5727523130214339,16723.993476442436
34,21,0.07,euclidean,20,20,0.4820213,0.48001205471598646,10959.350474274388
24,29,0.12,euclidean,25,15,0.45671043,0.5403533652503733,10919.24557212441
24,29,0.12,euclidean,26,16,0.4917047,0.5294521169678476,10686.482364081648
24,29,0.12,euclidean,24,14,0.5198845,0.5165007205585432,12524.260590031374
24,29,0.12,euclidean,27,15,0.2826866,0.30866625146222876,1562.1927215796663
24,29,0.12,euclidean,23,17,0.43488777,0.5256257671993954,6996.576468574159
24,29,0.12,euclidean,28,14,0.37047914,0.5923072301030723,5316.099678908507
24,29,0.12,euclidean,22,18,0.47102144,0.524225646851369,9007.119624514668
24,29,0.12,euclidean,29,13,0.4488022,0.5786236044909953,7864.581818166708
24,29,0.12,euclidean,21,19,0.47005862,0.5051694432492589,9347.250430347292
24,29,0.12,euclidean,30,12,0.46970797,0.5975468541706688,12698.959115360018
24,29,0.12,euclidean,20,20,0.45549887,0.5030353973516344,8072.608761873672
